Cuisines,Total_Votes,Restaurant_Count,Average_Rating
"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese",1046,2,4.0
"Continental, Italian, Chinese",1041,1,4.1
"Continental, Seafood, North Indian, Asian",1040,1,3.6
"Cafe, Italian, Chinese",1040,3,3.5333333333333337
"North Indian, Italian, Continental",1034,7,2.585714285714286
"World Cuisine, Patisserie, Cafe",1034,1,4.2
"Raw Meats, North Indian, Fast Food",1033,49,2.7346938775510203
"Continental, Kerala",1033,1,4.5
"Chinese, Japanese, Italian, Seafood",1027,1,3.5
"BBQ, Burger, Desserts",1025,1,4.5
"British, Bar Food, Sandwich",1020,1,4.1
Kerala,1012,5,2.9
"Italian, Fast Food",1010,10,2.5
"American, Italian, Seafood",1010,2,3.8499999999999996
"Breakfast, Spanish, Tapas",1007,1,4.4
"South Indian, Chinese",1007,34,2.426470588235294
"Asian, Mediterranean, North Indian",983,1,4.4
"Indian, North Indian",982,3,4.733333333333333
"North Indian, Chinese, Street Food",982,6,2.983333333333333
"North Indian, Continental, Mexican, Italian",978,2,3.9499999999999997
"American, Breakfast, Burger",977,3,4.033333333333333
International,973,6,4.233333333333333
"Italian, Mediterranean, Pizza",970,3,4.133333333333333
"Mediterranean, Italian",970,3,4.333333333333333
"American, British, Continental",969,1,4.0
"Mithai, North Indian, South Indian, Fast Food, Street Food, Chinese",966,1,3.8
"Indian, North Indian, Curry, Cafe",964,1,4.7
"North Indian, Chinese, Italian, American, Middle Eastern",961,1,4.2
Lebanese,958,9,3.522222222222222
"Cafe, Continental, Desserts",944,1,4.4
"Burger, Desserts, Vegetarian",943,1,4.2
"North Indian, Biryani",935,15,2.253333333333333
"Biryani, Mughlai",934,17,2.011764705882353
"Mediterranean, Italian, Thai, European",927,1,3.9
"Continental, Mexican, Beverages, Desserts, North Indian, Chinese, Rajasthani",916,1,4.0
"North Indian, Chinese, Continental, Goan, Seafood",911,1,3.8
Biryani,911,54,1.3981481481481481
"Tex-Mex, American",911,1,4.0
Caribbean,910,1,4.3
"International, Indian",909,1,4.5
"Chinese, Seafood, Asian",906,2,4.05
"American, Fast Food, Burger",906,7,2.1142857142857143
"Caribbean, Seafood",905,1,4.3
"Desserts, Bakery, Western",903,1,4.6
"American, Italian, Pizza",901,3,3.9666666666666663
"European, International, Tapas",900,1,4.4
"Seafood, North Indian",897,3,3.9
"European, South African",892,1,4.6
"Italian, American, Lebanese",887,1,4.3
"Italian, Tex-Mex, Continental, North Indian",886,1,3.9
"Italian, Continental, Mexican, Japanese, American, British",885,1,3.9
"Desserts, Sandwich, Ice Cream",880,1,4.6
"Continental, Goan, Seafood, North Indian",878,2,4.5
"Restaurant Cafe, Turkish, Desserts",877,1,4.2
"North Indian, Chinese, Italian, Mediterranean",877,1,3.6
"Burmese, Chinese, Japanese, Malaysian, Thai",875,3,3.8666666666666667
"Seafood, Steak",875,1,4.0
"Asian, Breakfast, Hawaiian",874,1,4.2
"Restaurant Cafe, Desserts",874,1,4.2
"Asian, Indonesian, Western",873,1,4.6
"Burger, Izgara",870,1,4.3
"North Indian, Continental, Italian, Chinese",866,2,4.0
"Cafe, Pizza, Italian",863,1,3.8
