Cuisines,Average_Rating,Restaurant_Count,Total_Votes
"American, Bar Food",4.225,4,2225
"American, Southern",4.225,4,1740
"Italian, Pizza, Sandwich",4.220000000000001,5,2706
"Chinese, Seafood, North Indian, Biryani",4.2,1,146
"Burger, Desserts, Vegetarian",4.2,1,943
"Middle Eastern, Arabian",4.2,1,158
"Italian, Mexican, American, Mediterranean",4.2,1,1103
"Cafe, Asian, Italian, North Indian",4.2,1,91
"Japanese, Seafood, Sushi",4.2,1,807
Malaysian,4.2,2,575
"Breakfast, Vegetarian",4.2,1,680
"American, Breakfast, Hawaiian",4.2,1,694
"Kiwi, European",4.2,1,271
"Italian, Mexican, Mediterranean",4.2,1,319
"Mexican, American",4.2,1,420
"Mediterranean, Turkish",4.2,1,568
"Mediterranean, Continental",4.2,1,144
"Italian, Continental, North Indian, Cafe",4.2,1,217
"Mediterranean, Cafe, European",4.2,1,146
"Kashmiri, Mughlai",4.2,1,146
"Brazilian, Seafood",4.2,1,8
"Mexican, Southwestern, Sushi",4.2,1,647
"Mexican, Southwestern, Tex-Mex",4.2,1,635
"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",4.2,1,1582
"Continental, North Indian, Chinese, Italian",4.2,1,248
"Continental, North Indian, European, Finger Food",4.2,1,1193
"Continental, North Indian, Italian, Chinese",4.2,1,1809
"American, Cafe",4.2,1,676
"World Cuisine, Patisserie, Cafe",4.2,1,1034
"South Indian, Andhra",4.2,1,3010
"American, Italian, North Indian, European, Thai",4.2,1,361
"Seafood, Chinese",4.2,1,2584
"Steak, Scottish, British",4.2,1,64
"Cafe, Italian, Japanese, Continental",4.2,1,633
"Cafe, Mexican, Italian, North Indian, Fast Food",4.2,1,198
"Healthy Food, Seafood, Beverages, Belgian, Contemporary, Desserts, Finger Food, International",4.2,1,20
"Bakery, Arabian, Middle Eastern",4.2,1,142
"Continental, Juices, Cafe, Desserts, Salad, Italian",4.2,1,99
"Bakery, Desserts, Fast Food, Beverages",4.2,1,729
"Italian, Cafe",4.2,1,170
"Asian, Breakfast, Hawaiian",4.2,1,874
"Asian Fusion, Cafe",4.2,1,61
"Cafe, Coffee and Tea, Western",4.2,1,22
"North Indian, Kerala, Chinese, Continental",4.2,1,394
"Asian, Chinese, Japanese",4.2,1,316
"Hyderabadi, Biryani, North Indian",4.2,1,295
"Continental, Chinese, Italian, Bakery",4.2,1,261
"Continental, Asian, Sushi",4.2,1,63
"Cafe, Continental, North Indian, Chinese",4.2,1,1859
"Asian, European, Seafood",4.2,1,531
"North Indian, North Eastern, Continental",4.2,1,306
"North Indian, Middle Eastern, Pizza",4.2,1,843
"Continental, Seafood, Goan, Andhra, Kerala, Thai",4.2,1,46
"North Indian, Asian",4.2,2,1493
"European, Cafe",4.2,2,772
"North Indian, Chinese, Italian, American, Middle Eastern",4.2,1,961
"International, Southern, Vegetarian",4.2,1,800
"Asian, Japanese, Sushi",4.2,1,550
"North Indian, Italian, Continental, Asian",4.2,1,162
"Cafe, Continental, Italian, Chinese, North Indian",4.2,1,349
"North Indian, Continental, South Indian, Chinese, Thai, Asian",4.2,1,149
